keyword,cluster,brand,category,location,intent,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,semrush_volume,semrush_kd,semrush_cpc,serp_evidence,competitor_evidence,existing_url,recommended_url,page_type,commercial_value,conversion_likelihood,opportunity_score,priority,confidence,notes
lauritz knudsen switches,LK catalogue,Lauritz Knudsen,Switches & Sockets,India,commercial investigation,,,,,N/A,N/A,N/A,"Brand/product intent","Manufacturer and local sellers","/brand/lauritz-knudsen","/brand/lauritz-knudsen",existing brand,High,High,71,P1,Moderate,"Link stocked switch models."
havells dealer delhi,Havells local dealer,Havells,,Delhi,local commercial,,,,,N/A,N/A,N/A,"Brand-local intent hypothesis","Manufacturer regional presence; local sellers","/brand/havells","/brand/havells",existing brand,High,High,70,P1,Moderate,"Use exact stocked categories only."
havells electrical products,Havells catalogue,Havells,,Delhi NCR,commercial investigation,,,,,N/A,N/A,N/A,"Brand catalogue intent","Manufacturer/catalogue sites","/brand/havells","/brand/havells",existing brand,High,High,69,P2,Moderate,"Do not create a duplicate switches page first."
anchor switches,Anchor catalogue,Anchor,Switches & Sockets,Delhi NCR,commercial investigation,,,,,N/A,N/A,N/A,"Brand-category adjacency","Manufacturer/catalogue sites","/brand/anchor","/brand/anchor",existing brand,High,High,65,P2,Moderate,"Cross-link to switches and plates."
polycab wires,Polycab catalogue,Polycab,Wires & Cables,Delhi NCR,commercial investigation,,,,,N/A,N/A,N/A,"Brand/category SERP validated","Polycab distributors","/brand/polycab","/brand/polycab",existing brand,High,High,73,P1,High,"Optimise existing brand page."
finolex wires,Finolex catalogue,Finolex,Wires & Cables,Delhi NCR,commercial investigation,,,,,N/A,N/A,N/A,"Brand/category SERP validated","Finolex dealer locator","/brand/finolex","/brand/finolex",existing brand,High,High,72,P1,High,"Optimise existing brand page."
water heater geyser,Geysers,,Geysers,Delhi NCR,transactional,,,,,N/A,N/A,N/A,"Direct catalogue intent","Retail/manufacturer SERP likely","/category/geysers","/category/geysers",existing category,Medium,Medium,62,P2,Moderate,"Organise capacity and type."
electrical supplier delhi ncr,Delhi NCR supplier,,,Delhi NCR,local commercial,,,,,N/A,N/A,N/A,"Local seller SERP pattern","BRBD; Shree Jee Trading","/","/electrical-supplier-delhi-ncr",new local commercial,High,High,73,P2,Moderate,"Gated: unique local fulfilment proof only."
polycab wires delhi,Polycab local,Polycab,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Strong overlap with brand/category","Tegh Cables; BRBD","/brand/polycab","/polycab-wires-delhi",new brand-category,High,High,69,P3,Moderate,"Gated against cannibalisation."
finolex wires delhi,Finolex local,Finolex,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Potential brand-local distinction","Finolex dealer locator","/brand/finolex","/finolex-wires-delhi",new brand-category,High,High,68,P3,Moderate,"Gated against cannibalisation."
mcb dealer delhi,Circuit protection,,Circuit Protection,Delhi,local commercial,,,,,N/A,N/A,N/A,"Potential distinct local intent","Local suppliers/directories","/category/circuit-protection","/mcb-dealer-delhi",new local commercial,High,High,66,P3,Low,"Only if GSC/SERP shows category cannot own it."
mcb vs rccb,Protection guide,,Circuit Protection,India,informational commercial investigation,,,,,N/A,N/A,N/A,"Informational SERP observed","Technical publishers/manufacturers","/category/circuit-protection","/guides/mcb-vs-rccb",supporting guide,Medium,Medium,60,P2,High,"Expert review mandatory."
how to choose mcb rating,Protection guide,,Circuit Protection,India,informational commercial investigation,,,,,N/A,N/A,N/A,"Informational SERP observed","Technical publishers/manufacturers","/category/circuit-protection","/guides/choose-mcb-rating",supporting guide,Medium,Medium,58,P2,High,"No DIY installation advice."
best wire for house wiring,Wire buying guide,,Wires & Cables,India,informational commercial investigation,,,,,N/A,N/A,N/A,"Competitive guide SERP observed","CablePriceIndia; APAR; MEPWORK","/category/wires-cables","/guides/house-wiring-wire-guide",supporting guide,Medium,Medium,64,P2,High,"Source technical claims; avoid unsupported best-brand list."
frls wire buying guide,Wire buying guide,,Wires & Cables,India,informational commercial investigation,,,,,N/A,N/A,N/A,"Manufacturer/guide content observed","Finolex documentation","/category/wires-cables","/guides/fr-frls-frlsh-wire-checklist",supporting guide,Medium,Medium,61,P2,Moderate,"Technical review mandatory."
how to choose modular switches,Switch buying guide,,Switches & Sockets,India,informational commercial investigation,,,,,N/A,N/A,N/A,"Content/commerce adjacent","Manufacturer/catalogue sites","/category/switches-sockets","/guides/choose-modular-switches",supporting guide,Medium,Medium,59,P2,Moderate,"Link to plates and boxes."
