================================================================================
PRODUCTS MISSING catalog_source.subcategory
================================================================================

Total products: 1,994
Missing catalog_source.subcategory: 1,022

BY CATEGORY:
  Plates: 562
  Switches: 230
  Accessories: 73
  Hospitality: 44
  Data Sockets: 29
  Boxes: 27
  Fan Controls: 26
  Power Sockets: 20
  Dimmers: 11

BY PRODUCT FAMILY:
  Entice: 324
  Englaze: 296
  Encurve: 143
  Signia: 120
  Engem: 115
  Enconnect: 24

SAMPLE (first 50):
  SKU CB92601BW10 | Soft Feel Bell Push 10AX 1-way 1M - Snow White | category=Switches | subcategory=None
  SKU CB94602SB04 | Wi-fi Switch 4 Channel - Sparkle Black | category=Switches | subcategory=None
  SKU CB94602SL04 | Wi-fi Switch 4 Channel - Black Glass | category=Switches | subcategory=None
  SKU CB94602SM20 | Wi-fi Switch 20A for Power Load - Mountain Grey | category=Switches | subcategory=None
  SKU CB94602SB20 | Wi-fi Switch 20A for Power Load - Sparkle Black | category=Switches | subcategory=None
  SKU CB94602SL20 | Wi-fi Switch 20A for Power Load - Black Glass | category=Switches | subcategory=None
  SKU CB94702SM20 | Wi-fi Switch 20A with Energy Monitoring - Mountain Grey | category=Switches | subcategory=None
  SKU CB94702SB20 | Wi-fi Switch 20A with Energy Monitoring - Sparkle Black | category=Switches | subcategory=None
  SKU CB94702SL20 | Wi-fi Switch 20A with Energy Monitoring - Black Glass | category=Switches | subcategory=None
  SKU CB94602FM00 | Wi-fi Fan Regulator 5 Step - Mountain Grey | category=Fan Controls | subcategory=None
  SKU CB94602FB00 | Wi-fi Fan Regulator 5 Step - Sparkle Black | category=Fan Controls | subcategory=None
  SKU CB94602FL00 | Wi-fi Fan Regulator 5 Step - Black Glass | category=Fan Controls | subcategory=None
  SKU CB94602DM00 | Wi-fi Light Dimmer 5 Step - Mountain Grey | category=Accessories | subcategory=None
  SKU CB94602DB00 | Wi-fi Light Dimmer 5 Step - Sparkle Black | category=Accessories | subcategory=None
  SKU CB94602DL00 | Wi-fi Light Dimmer 5 Step - Black Glass | category=Accessories | subcategory=None
  SKU CB94602CM00 | Wi-fi Curtain Controller - Mountain Grey | category=Accessories | subcategory=None
  SKU CB94602CB00 | Wi-fi Curtain Controller - Sparkle Black | category=Accessories | subcategory=None
  SKU CB94602CL00 | Wi-fi Curtain Controller - Black Glass | category=Accessories | subcategory=None
  SKU CB94602SM00 | Wi-fi Scene Controller - Mountain Grey | category=Accessories | subcategory=None
  SKU CB94602SB00 | Wi-fi Scene Controller - Sparkle Black | category=Accessories | subcategory=None

================================================================================
End of Report
================================================================================
